n	n	n	n	n
1.290020	0.353999	2.722350	1.057745	0.306387	
0.076565	0.483818	0.832164	1.156835	0.056086	
0.879217	0.040875	0.246385	0.206552	0.904370	
0.838993	0.932526	0.039254	0.185974	0.273220	
0.443263	0.508455	0.863682	0.459715	0.400674	
0.409483	0.307235	0.335324	0.369031	0.239880	
0.186169	0.508805	0.058858	0.132163	0.609748	
0.077317	0.022482	0.263887	0.878973	0.854523	
0.070718	0.664974	0.083334	0.363158	0.745140	
0.657955	0.390076	0.405559	0.184359	0.050693	
0.200445	0.044321	0.503870	0.247296	0.311597	
0.957486	0.110419	0.296356	0.884871	0.524717	
0.135415	0.348505	0.740556	0.360458	0.028288	
0.765474	0.588715	0.974867	0.902913	0.437683	
0.340663	0.408528	0.977931	0.452771	0.233722	
0.354885	0.526740	0.996978	0.389939	0.710443	
0.501197	0.739088	0.126937	0.706400	0.478342	
0.090369	0.812237	0.870168	0.865051	0.236407	
0.296792	0.897596	0.923853	0.325461	0.623676	
0.744304	0.952545	0.758544	0.537597	0.125581	
0.027419	0.102577	0.545564	0.341184	0.480734	
0.229528	0.998944	0.067032	0.720251	0.056196	
0.331808	0.153003	0.728237	0.397047	0.434369	
0.086551	0.475016	0.490301	0.712570	0.930803	
0.424258	0.545628	0.720665	0.382532	0.787357	
0.440937	0.449717	0.932431	0.353035	0.702887	
0.311384	0.374577	0.031613	0.647419	0.685465	
0.902198	0.717161	0.701066	0.804470	0.934438	
0.261797	0.814130	0.650162	0.397089	0.830719	
0.709232	0.579435	0.264688	0.769381	0.120368	
0.469100	0.807349	0.275342	0.463296	0.816687	
0.206226	0.014223	0.088224	0.192868	0.412121	
0.354987	0.916641	0.299499	0.590798	0.103400	
0.503603	0.795468	0.789742	0.988601	0.863286	
0.608489	0.493449	0.738843	0.707500	0.977058	
0.925461	0.417038	0.180946	0.401589	0.814464	
0.878793	0.581770	0.082508	0.778035	0.107524	
0.428655	0.551831	0.700471	0.332676	0.395442	
0.256818	0.774031	0.093543	0.965237	0.510877	
0.042756	0.949057	0.314993	0.344560	0.536699	
0.975189	0.194687	0.542918	0.598967	0.676741	
0.102133	0.323210	0.702907	0.714633	0.325241	
0.659070	0.857283	0.644612	0.405021	0.474682	
0.518757	0.101483	0.969210	0.617800	0.544737	
0.803326	0.604540	0.459765	0.216399	0.772802	
0.791186	0.701114	0.539917	0.628690	0.098776	
0.281919	0.074824	0.670400	0.944088	0.239047	
0.191341	0.383517	0.156061	0.325823	0.448798	
0.167506	0.661769	0.898524	0.281444	0.390057	
0.216801	0.889818	0.644890	0.261933	0.743244	
0.521252	0.679133	0.610289	0.054948	0.504159	
