n	n	n	n	n
0.256175	0.214536	0.725974	0.818545	0.663885	
0.259091	0.194525	0.057486	0.036262	0.551296	
0.205878	0.810451	0.737512	0.875217	0.352774	
0.777544	0.653707	0.545056	0.508665	0.197342	
0.984637	0.231351	0.337396	0.746979	0.548214	
0.957958	0.708879	0.344441	0.938015	0.626465	
0.725586	0.099796	0.301475	0.063035	0.945108	
0.622442	0.825194	0.116021	0.912823	0.546980	
0.510581	0.315167	0.964905	0.834305	0.317637	
0.135040	0.346965	0.883902	0.792066	0.201852	
0.999327	0.208966	0.525503	0.482380	0.505123	
0.498515	0.957863	0.288239	0.303683	0.685127	
0.039893	0.379930	0.439546	0.023063	0.260560	
0.510295	0.410784	0.602945	0.730667	0.665824	
0.412163	0.576296	0.301663	0.932565	0.625321	
0.689846	0.468303	0.513814	0.463523	0.758754	
0.930006	0.296138	0.824090	0.863227	0.736026	
0.718053	0.784132	0.502360	0.341032	0.990737	
0.827236	0.898612	0.551401	0.366769	0.291709	
0.107611	0.358538	0.730356	0.059594	0.985321	
0.190035	0.090178	0.842530	0.676825	0.694862	
0.333528	0.534641	0.151590	0.654932	0.016419	
0.102570	0.505236	0.775443	0.709897	0.110935	
0.380015	0.139912	0.738491	0.230187	0.219062	
0.906189	0.973647	0.025911	0.270753	0.044210	
0.481660	0.296918	0.133025	0.794048	0.645383	
0.932410	0.429495	0.951783	0.112174	0.163811	
0.264294	0.899964	0.198655	0.441297	0.846331	
0.339274	0.771965	0.138232	0.440193	0.790612	
0.409541	0.008928	0.962835	0.415840	0.901144	
0.832751	0.114949	0.933458	0.828145	0.069573	
0.400713	0.993973	0.116183	0.242178	0.726437	
0.836056	0.911374	0.799591	0.344603	0.799299	
0.900070	0.351180	0.417182	0.690292	0.863771	
0.833719	0.287798	0.730866	0.219708	0.438647	
0.045960	0.367076	0.845815	0.441319	0.265328	
0.951592	0.494700	0.818225	0.709468	0.656465	
0.939913	0.918048	0.261192	0.239909	0.143969	
0.653863	0.718898	0.537812	0.654441	0.461821	
0.162630	0.447707	0.148163	0.876845	0.950460	
0.524023	0.737936	0.782223	0.862030	0.127112	
0.171582	0.740134	0.794342	0.817898	0.210228	
0.686693	0.291964	0.263907	0.825402	0.518285	
0.777277	0.476531	0.221377	0.886831	0.501790	
0.647236	0.421143	0.974899	0.225647	0.068468	
0.501932	0.610867	0.360711	0.908546	0.584919	
0.237862	0.144338	0.560874	0.370286	0.047316	
0.534433	0.737234	0.996053	0.489426	0.955891	
0.290017	0.748208	0.283171	0.607258	0.221139	
0.990092	0.465227	0.154816	0.379545	0.589636	
0.242858	0.722475	0.786124	0.149132	0.494220	
0.958647	0.546521	0.638980	0.599301	0.200206	
0.616900	0.959756	0.107760	0.253119	0.190926	
0.052145	0.405223	0.105057	0.797460	0.485254	
0.416052	0.194968	0.272306	0.104358	0.575463	
0.851270	0.130539	0.251656	0.097640	0.104579	
0.353063	0.611532	0.608594	0.452313	0.163748	
0.349465	0.438124	0.196026	0.008778	0.740486	
0.055013	0.584940	0.140835	0.730331	0.144343	
0.658575	0.367859	0.907608	0.777366	0.333304	
0.831847	0.747813	0.629746	0.347877	0.902446	
0.459358	0.798840	0.447878	0.348392	0.453541	
0.498383	0.041808	0.145542	0.535238	0.580721	
0.777803	0.397147	0.023028	0.021508	0.995184	
0.399735	0.653145	0.467219	0.393171	0.926605	
0.903723	0.512472	0.903729	0.841261	0.333393	
0.415732	0.154335	0.649234	0.947031	0.772292	
0.213999	0.781345	0.111576	0.985333	0.915529	
0.409433	0.157152	0.108443	0.093863	0.275615	
0.733069	0.598240	0.985975	0.804834	0.570055	
0.833441	0.513848	0.538024	0.509320	0.939233	
0.922861	0.287312	0.392116	0.276255	0.613171	
0.882570	0.159885	0.349076	0.220096	0.966840	
0.292964	0.766145	0.896629	0.109419	0.475850	
0.306006	0.374489	0.754802	0.211306	0.546775	
