n	n	n
1.489698	0.671497	0.488894	
1.409034	0.717239	1.034693	
0.280699	0.010603	0.024744	
0.351578	0.863924	0.754694	
0.901343	0.898878	0.498366	
0.498417	0.947687	0.679514	
0.946231	0.022903	0.875064	
0.538782	0.682612	0.418571	
0.405421	0.017128	0.314318	
0.702606	0.397000	0.967362	
0.941840	0.296219	0.430508	
0.501176	0.635415	0.952206	
0.101139	0.588745	0.828528	
0.273261	0.951387	0.477166	
0.417326	0.935889	0.647047	
0.789199	0.864716	0.434522	
0.569224	0.743471	0.310676	
0.117756	0.515605	0.679770	
0.724223	0.687522	0.150032	
0.880556	0.641903	0.752177	
0.995707	0.734198	0.403055	
0.394090	0.252816	0.139456	
0.113436	0.872343	0.309439	
0.712891	0.949358	0.096173	
0.384972	0.641531	0.464551	
0.038461	0.617565	0.549703	
0.901714	0.139971	0.384043	
0.814784	0.839400	0.721571	
0.778259	0.907124	0.056150	
0.940533	0.025105	0.576364	
0.948319	0.771039	0.775666	
0.073698	0.550000	0.428805	
0.523729	0.091261	0.106129	
0.153914	0.609173	0.291391	
0.474988	0.405458	0.454499	
0.913753	0.034812	0.230347	
0.967667	0.357293	0.002097	
0.477528	0.596778	0.040297	
0.684327	0.000417	0.477050	
0.434847	0.016505	0.446936	
0.012416	0.537903	0.734587	
0.658305	0.382876	0.236645	
0.449096	0.065617	0.282476	
0.421783	0.316372	0.172828	
0.733326	0.105044	0.653534	
0.495359	0.557513	0.939310	
0.765289	0.375165	0.716420	
0.719067	0.831313	0.376505	
0.235518	0.069661	0.303934	
0.379369	0.755110	0.722344	
0.577345	0.639966	0.356584	
0.944129	0.130179	0.994069	
0.706649	0.413423	0.668321	
0.929551	0.954675	0.057773	
0.047363	0.993627	0.443487	
0.233297	0.762389	0.756321	
0.564790	0.590206	0.303565	
0.253408	0.341552	0.775928	
0.336074	0.958740	0.282374	
0.357717	0.158539	0.270989	
0.797287	0.895245	0.991136	
0.954911	0.930729	0.079117	
0.809982	0.332535	0.083403	
0.905399	0.718481	0.089454	
0.963474	0.903495	0.220096	
0.289290	0.860484	0.293334	
0.483836	0.353165	0.444838	
0.982689	0.115827	0.903990	
0.241609	0.967727	0.682125	
0.117253	0.689634	0.536321	
0.918752	0.637362	0.437495	
0.507022	0.632622	0.817039	
0.905036	0.426166	0.906554	
0.681598	0.231041	0.157286	
0.028213	0.141341	0.936959	
