i	i	i	i	i	i	i	n	n	n
0.000000	0.000000	3.000000	1.000000	0.000000	3.000000	0.000000	0.691693	0.108517	0.620679	
0.000000	0.000000	2.000000	0.000000	0.000000	1.000000	2.000000	1.085580	0.210045	0.520549	
1.000000	1.000000	5.000000	1.000000	3.000000	0.000000	1.000000	0.147206	0.267617	0.413379	
1.000000	1.000000	1.000000	0.000000	0.000000	1.000000	2.000000	0.345955	0.534842	0.752170	
0.000000	0.000000	3.000000	3.000000	1.000000	1.000000	1.000000	0.965259	0.370345	0.313622	
0.000000	0.000000	0.000000	1.000000	1.000000	2.000000	0.000000	0.733687	0.683861	0.409148	
1.000000	0.000000	2.000000	1.000000	1.000000	2.000000	1.000000	0.493290	0.983934	0.577427	
1.000000	3.000000	2.000000	1.000000	0.000000	0.000000	0.000000	0.753215	0.566767	0.605045	
0.000000	1.000000	3.000000	1.000000	1.000000	2.000000	0.000000	0.643049	0.111201	0.342723	
2.000000	0.000000	2.000000	2.000000	0.000000	4.000000	1.000000	0.943611	0.387345	0.827779	
2.000000	0.000000	4.000000	3.000000	1.000000	0.000000	0.000000	0.166622	0.968942	0.086115	
3.000000	1.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.297202	0.466083	0.402533	
1.000000	2.000000	2.000000	2.000000	2.000000	2.000000	0.000000	0.693366	0.205476	0.051642	
1.000000	2.000000	1.000000	2.000000	0.000000	1.000000	2.000000	0.386791	0.093736	0.215412	
1.000000	0.000000	2.000000	1.000000	0.000000	0.000000	0.000000	0.121358	0.723356	0.246064	
1.000000	0.000000	1.000000	0.000000	0.000000	0.000000	3.000000	0.104114	0.791402	0.848241	
2.000000	2.000000	1.000000	2.000000	1.000000	0.000000	0.000000	0.208259	0.582902	0.403584	
0.000000	2.000000	0.000000	1.000000	3.000000	0.000000	0.000000	0.189124	0.822017	0.073060	
1.000000	1.000000	4.000000	1.000000	1.000000	0.000000	0.000000	0.752528	0.435543	0.547290	
0.000000	0.000000	2.000000	2.000000	2.000000	0.000000	0.000000	0.155565	0.567138	0.211691	
0.000000	1.000000	2.000000	1.000000	1.000000	1.000000	1.000000	0.647438	0.216493	0.702966	
0.000000	0.000000	1.000000	0.000000	1.000000	1.000000	1.000000	0.046502	0.343212	0.841318	
2.000000	2.000000	1.000000	2.000000	1.000000	0.000000	1.000000	0.904272	0.721616	0.671710	
1.000000	2.000000	2.000000	2.000000	0.000000	3.000000	2.000000	0.917215	0.232069	0.510328	
0.000000	1.000000	0.000000	2.000000	3.000000	1.000000	1.000000	0.279974	0.860574	0.977825	
1.000000	1.000000	5.000000	1.000000	2.000000	3.000000	1.000000	0.665762	0.510145	0.043912	
2.000000	3.000000	5.000000	1.000000	0.000000	2.000000	1.000000	0.850590	0.939813	0.783305	
1.000000	2.000000	0.000000	1.000000	1.000000	2.000000	3.000000	0.623045	0.081650	0.845788	
2.000000	3.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.420317	0.714062	0.341283	
1.000000	0.000000	1.000000	1.000000	0.000000	1.000000	2.000000	0.855739	0.082615	0.771931	
2.000000	1.000000	4.000000	0.000000	1.000000	0.000000	0.000000	0.361116	0.467030	0.998761	
0.000000	4.000000	3.000000	0.000000	1.000000	0.000000	0.000000	0.147700	0.754342	0.370109	
1.000000	0.000000	2.000000	1.000000	2.000000	1.000000	1.000000	0.274121	0.221302	0.331224	
2.000000	3.000000	3.000000	3.000000	2.000000	1.000000	0.000000	0.239677	0.844111	0.679886	
2.000000	0.000000	0.000000	1.000000	1.000000	1.000000	2.000000	0.583213	0.508745	0.413542	
0.000000	0.000000	2.000000	1.000000	0.000000	0.000000	0.000000	0.636496	0.886728	0.151108	
