i	i	i	i	i	i	i	n	n	n
1.000000	0.000000	1.000000	3.000000	1.000000	1.000000	3.000000	0.241226	0.803529	1.485542	
1.000000	1.000000	1.000000	1.000000	0.000000	3.000000	0.000000	1.866074	0.441941	0.847848	
0.000000	0.000000	0.000000	1.000000	1.000000	1.000000	0.000000	0.420496	0.618101	0.527353	
1.000000	0.000000	1.000000	0.000000	1.000000	1.000000	1.000000	0.095103	0.329691	0.598757	
0.000000	1.000000	2.000000	1.000000	3.000000	2.000000	0.000000	0.683634	0.759303	0.541156	
2.000000	1.000000	0.000000	2.000000	1.000000	0.000000	1.000000	0.619842	0.312460	0.005945	
1.000000	1.000000	1.000000	3.000000	1.000000	1.000000	1.000000	0.382098	0.317365	0.591270	
1.000000	2.000000	1.000000	2.000000	0.000000	2.000000	3.000000	0.675939	0.090184	0.562278	
0.000000	1.000000	1.000000	0.000000	1.000000	2.000000	2.000000	0.395244	0.967612	0.241888	
0.000000	1.000000	0.000000	1.000000	0.000000	1.000000	1.000000	0.243287	0.687924	0.807537	
0.000000	1.000000	0.000000	1.000000	0.000000	3.000000	2.000000	0.271564	0.585452	0.681847	
1.000000	1.000000	1.000000	1.000000	1.000000	3.000000	2.000000	0.791720	0.161208	0.829051	
1.000000	1.000000	1.000000	1.000000	0.000000	1.000000	0.000000	0.793870	0.346671	0.165939	
1.000000	2.000000	0.000000	0.000000	0.000000	2.000000	0.000000	0.744965	0.541207	0.848843	
0.000000	2.000000	2.000000	2.000000	1.000000	0.000000	1.000000	0.579139	0.446654	0.206434	
0.000000	1.000000	2.000000	1.000000	0.000000	3.000000	0.000000	0.571067	0.125042	0.004579	
0.000000	2.000000	1.000000	1.000000	0.000000	3.000000	1.000000	0.284732	0.873392	0.580947	
1.000000	2.000000	2.000000	2.000000	0.000000	3.000000	1.000000	0.779767	0.595589	0.624432	
0.000000	0.000000	0.000000	3.000000	2.000000	3.000000	3.000000	0.666905	0.544930	0.474898	
0.000000	1.000000	1.000000	2.000000	2.000000	2.000000	3.000000	0.956641	0.801693	0.041870	
1.000000	3.000000	3.000000	0.000000	1.000000	3.000000	1.000000	0.113479	0.156512	0.298861	
2.000000	2.000000	2.000000	1.000000	1.000000	2.000000	0.000000	0.783531	0.273486	0.235905	
0.000000	0.000000	2.000000	0.000000	0.000000	2.000000	2.000000	0.195432	0.050319	0.335052	
0.000000	1.000000	1.000000	2.000000	1.000000	2.000000	0.000000	0.096407	0.460706	0.199257	
0.000000	1.000000	0.000000	1.000000	0.000000	4.000000	1.000000	0.241928	0.946744	0.013850	
0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.103705	0.323477	0.727497	
1.000000	3.000000	2.000000	0.000000	1.000000	0.000000	1.000000	0.874832	0.151929	0.117839	
0.000000	1.000000	3.000000	0.000000	2.000000	2.000000	2.000000	0.030855	0.983965	0.277439	
0.000000	0.000000	2.000000	2.000000	1.000000	0.000000	0.000000	0.397463	0.613301	0.450083	
2.000000	0.000000	1.000000	0.000000	1.000000	1.000000	0.000000	0.626888	0.232057	0.525813	
1.000000	3.000000	1.000000	3.000000	0.000000	4.000000	1.000000	0.924744	0.690324	0.135819	
0.000000	0.000000	1.000000	2.000000	1.000000	1.000000	2.000000	0.286543	0.926956	0.004816	
1.000000	3.000000	1.000000	3.000000	1.000000	1.000000	1.000000	0.866389	0.561193	0.488998	
2.000000	2.000000	2.000000	0.000000	2.000000	2.000000	0.000000	0.600242	0.228414	0.705662	
2.000000	3.000000	2.000000	2.000000	1.000000	1.000000	2.000000	0.440276	0.232207	0.371870	
1.000000	1.000000	0.000000	3.000000	0.000000	1.000000	1.000000	0.010441	0.205513	0.029021	
1.000000	1.000000	1.000000	4.000000	1.000000	3.000000	0.000000	0.318738	0.208921	0.674043	
1.000000	2.000000	3.000000	2.000000	0.000000	0.000000	1.000000	0.297974	0.921596	0.259338	
0.000000	0.000000	1.000000	1.000000	0.000000	3.000000	0.000000	0.010211	0.662867	0.413588	
1.000000	0.000000	2.000000	1.000000	0.000000	2.000000	2.000000	0.652114	0.381571	0.147951	
0.000000	2.000000	1.000000	0.000000	0.000000	1.000000	1.000000	0.576663	0.002181	0.004968	
4.000000	1.000000	1.000000	3.000000	0.000000	0.000000	1.000000	0.813032	0.340908	0.918262	
0.000000	2.000000	2.000000	1.000000	2.000000	3.000000	0.000000	0.266367	0.969820	0.356949	
0.000000	0.000000	1.000000	5.000000	0.000000	2.000000	0.000000	0.737408	0.452968	0.925479	
3.000000	0.000000	3.000000	2.000000	1.000000	1.000000	1.000000	0.277434	0.936842	0.593806	
2.000000	0.000000	1.000000	0.000000	1.000000	4.000000	2.000000	0.831331	0.126640	0.375727	
1.000000	0.000000	1.000000	1.000000	2.000000	5.000000	1.000000	0.329016	0.932012	0.965240	
2.000000	0.000000	1.000000	2.000000	0.000000	1.000000	0.000000	0.537901	0.843324	0.355680	
1.000000	1.000000	0.000000	0.000000	0.000000	3.000000	3.000000	0.802307	0.108434	0.184547	
0.000000	2.000000	5.000000	4.000000	0.000000	0.000000	1.000000	0.719510	0.688439	0.868665	
1.000000	3.000000	0.000000	1.000000	1.000000	1.000000	4.000000	0.479666	0.597298	0.823829	
2.000000	0.000000	0.000000	1.000000	1.000000	4.000000	0.000000	0.505296	0.729540	0.895902	
2.000000	0.000000	1.000000	2.000000	0.000000	1.000000	2.000000	0.230637	0.475482	0.987621	
0.000000	1.000000	0.000000	3.000000	0.000000	0.000000	2.000000	0.982780	0.349980	0.857336	
0.000000	1.000000	0.000000	2.000000	1.000000	1.000000	0.000000	0.803053	0.969369	0.214611	
1.000000	1.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.600544	0.447625	0.696441	
0.000000	1.000000	1.000000	3.000000	0.000000	1.000000	1.000000	0.288059	0.185871	0.754887	
1.000000	0.000000	1.000000	3.000000	1.000000	3.000000	3.000000	0.572985	0.300289	0.781699	
0.000000	2.000000	0.000000	1.000000	1.000000	0.000000	2.000000	0.889210	0.939344	0.606110	
1.000000	2.000000	0.000000	0.000000	1.000000	2.000000	1.000000	0.125807	0.547646	0.882826	
1.000000	0.000000	2.000000	0.000000	0.000000	0.000000	1.000000	0.239987	0.283220	0.023991	
0.000000	0.000000	2.000000	1.000000	1.000000	3.000000	1.000000	0.063024	0.526749	0.048305	
1.000000	1.000000	0.000000	0.000000	2.000000	2.000000	1.000000	0.971274	0.528010	0.143087	
0.000000	0.000000	1.000000	1.000000	0.000000	1.000000	0.000000	0.406264	0.091582	0.204634	
0.000000	0.000000	2.000000	0.000000	0.000000	3.000000	1.000000	0.422228	0.724248	0.492004	
1.000000	0.000000	1.000000	2.000000	4.000000	2.000000	1.000000	0.663862	0.929972	0.864173	
0.000000	0.000000	0.000000	3.000000	1.000000	0.000000	0.000000	0.773305	0.609025	0.508726	
2.000000	2.000000	4.000000	3.000000	1.000000	0.000000	1.000000	0.896554	0.062344	0.089430	
0.000000	2.000000	1.000000	3.000000	3.000000	3.000000	3.000000	0.188744	0.967816	0.817365	
2.000000	0.000000	0.000000	1.000000	2.000000	3.000000	1.000000	0.437554	0.286388	0.949589	
2.000000	2.000000	1.000000	0.000000	1.000000	4.000000	1.000000	0.583235	0.133647	0.801759	
1.000000	1.000000	1.000000	1.000000	0.000000	2.000000	1.000000	0.641290	0.711517	0.740507	
1.000000	3.000000	1.000000	1.000000	2.000000	2.000000	0.000000	0.069979	0.500099	0.583149	
0.000000	3.000000	0.000000	1.000000	0.000000	1.000000	0.000000	0.357602	0.104409	0.866022	
0.000000	0.000000	0.000000	2.000000	1.000000	0.000000	3.000000	0.458069	0.581753	0.007925	
