n	n	n	n	n
1.402581	0.391277	0.027269	1.381513	1.759206	
0.300077	0.031024	2.443328	1.248831	0.418455	
0.989732	0.047897	0.388468	0.678623	0.831295	
0.048963	0.013938	0.175831	0.463456	0.441952	
0.851061	0.271238	0.371274	0.704121	0.207404	
0.755401	0.577606	0.528798	0.873499	0.393010	
0.806691	0.668330	0.731885	0.304211	0.087656	
0.949358	0.121547	0.893506	0.898115	0.534615	
0.712520	0.295509	0.212199	0.812820	0.920693	
0.836164	0.059376	0.324146	0.280521	0.239675	
0.386680	0.133407	0.767750	0.903463	0.564236	
0.902643	0.859768	0.422131	0.827625	0.734939	
0.924325	0.135780	0.053044	0.105611	0.326443	
0.675160	0.694786	0.336815	0.332914	0.175381	
0.712919	0.795430	0.881827	0.534456	0.242780	
0.458413	0.998473	0.149192	0.300056	0.706559	
0.530802	0.072322	0.069210	0.820485	0.888154	
0.841427	0.879335	0.860793	0.188147	0.793057	
0.402382	0.639257	0.929371	0.934452	0.647889	
0.324766	0.071274	0.832146	0.376148	0.468762	
0.098799	0.073736	0.098599	0.571845	0.594474	
0.720674	0.370214	0.860347	0.732808	0.214046	
0.045672	0.948628	0.542674	0.904020	0.295323	
0.090159	0.493787	0.914609	0.739413	0.778248	
0.360674	0.182817	0.600882	0.459462	0.671820	
0.717230	0.782380	0.562935	0.434596	0.020133	
0.267716	0.589087	0.426076	0.883414	0.257895	
0.029667	0.783194	0.463782	0.492989	0.516072	
0.338376	0.511190	0.805264	0.626459	0.710049	
0.975290	0.825118	0.628061	0.925798	0.886907	
0.638820	0.653223	0.748498	0.083874	0.413736	
0.628711	0.758640	0.254588	0.351937	0.730100	
0.167360	0.049421	0.261193	0.208911	0.316667	
0.667846	0.431555	0.837026	0.427551	0.157322	
0.460074	0.480962	0.186938	0.411615	0.847438	
0.411652	0.634326	0.353821	0.453682	0.307336	
0.825720	0.487602	0.413228	0.839228	0.190944	
0.680582	0.673491	0.880772	0.647688	0.008607	
0.489538	0.985429	0.542590	0.137248	0.364792	
0.235762	0.070516	0.810225	0.112820	0.352201	
0.691095	0.830080	0.936157	0.539238	0.767440	
0.007911	0.328759	0.517412	0.154302	0.198594	
0.326602	0.299104	0.487147	0.663121	0.106944	
0.186671	0.911330	0.961358	0.593982	0.715925	
0.370561	0.278184	0.978338	0.872932	0.014680	
0.088243	0.317847	0.168705	0.955734	0.406428	
0.554897	0.454062	0.780617	0.070042	0.646080	
0.963804	0.076028	0.546449	0.284900	0.993261	
0.038134	0.150709	0.447115	0.612671	0.375517	
0.927516	0.508981	0.990300	0.694117	0.435490	
0.686977	0.130914	0.326257	0.506650	0.734292	
0.109620	0.349851	0.292880	0.316633	0.965226	
0.495109	0.682338	0.857164	0.808687	0.580345	
0.637846	0.019729	0.358418	0.426790	0.330884	
0.068469	0.418686	0.721430	0.027543	0.237919	
0.709311	0.433847	0.081273	0.237048	0.384568	
0.858738	0.470969	0.299573	0.514155	0.668797	
0.548461	0.988222	0.973948	0.374842	0.313029	
0.818209	0.733124	0.296689	0.302859	0.063912	
0.682800	0.966990	0.498702	0.968405	0.660017	
0.504441	0.097133	0.674619	0.240466	0.414267	
0.101293	0.939528	0.627525	0.494572	0.484909	
0.207236	0.065634	0.392456	0.204466	0.937597	
0.436484	0.881793	0.733878	0.943127	0.907666	
0.771617	0.394023	0.557123	0.658997	0.995852	
0.229412	0.384487	0.117286	0.038425	0.645016	
0.948193	0.354871	0.470875	0.048137	0.042408	
0.464518	0.175146	0.453114	0.490727	0.051034	
0.299552	0.685362	0.526115	0.492254	0.274485	
0.812151	0.250771	0.371276	0.734534	0.196912	
0.507890	0.356478	0.777585	0.532148	0.697366	
0.786863	0.561427	0.626061	0.309751	0.476930	
0.713585	0.320747	0.299038	0.322900	0.046150	
0.301531	0.546496	0.229644	0.298302	0.263515	
0.851595	0.093984	0.371132	0.631137	0.418647	
0.608058	0.221635	0.858813	0.163553	0.842591	
0.609217	0.399714	0.514037	0.710782	0.345746	
0.275165	0.367359	0.914481	0.944598	0.565571	
0.984063	0.869320	0.953884	0.243706	0.714604	
0.555752	0.624300	0.952679	0.613402	0.302831	
0.628068	0.623649	0.358200	0.809570	0.960763	
0.850815	0.758460	0.821622	0.981612	0.568862	
0.373332	0.214623	0.142821	0.154694	0.820683	
0.361602	0.952918	0.800887	0.018460	0.347805	
0.376652	0.523999	0.410861	0.289307	0.285855	
0.696047	0.487209	0.332010	0.113263	0.534338	
0.769776	0.037821	0.636489	0.736568	0.319693	
0.844421	0.856157	0.950024	0.156015	0.608393	
0.957799	0.471639	0.725246	0.608851	0.550279	
0.045248	0.289756	0.627301	0.001780	0.077552	
0.988684	0.567355	0.941051	0.636425	0.221753	
0.771971	0.307511	0.262047	0.277070	0.281970	
0.517681	0.895802	0.060030	0.769526	0.033503	
0.227463	0.061453	0.258685	0.114879	0.828851	
0.168413	0.857533	0.729112	0.460208	0.571961	
0.969543	0.084757	0.728063	0.602438	0.302904	
0.142439	0.575019	0.748286	0.225884	0.128789	
0.885839	0.293260	0.953889	0.895305	0.760861	
0.682778	0.990275	0.832906	0.634014	0.415233	
0.772985	0.274383	0.031891	0.343158	0.316304	
0.998962	0.404512	0.686493	0.041027	0.887402	
0.803965	0.536396	0.310584	0.945656	0.666672	
0.229949	0.524985	0.825222	0.728216	0.387105	
0.436068	0.694983	0.624249	0.068542	0.356914	
0.558029	0.770577	0.865728	0.044049	0.769262	
0.229887	0.828255	0.945090	0.763492	0.042022	
0.588128	0.491552	0.772968	0.931702	0.123052	
0.621101	0.547118	0.906652	0.681212	0.837176	
0.758546	0.224577	0.400168	0.703700	0.310048	
0.974555	0.100919	0.946064	0.348186	0.202693	
0.286960	0.368845	0.750248	0.036304	0.722393	
0.825843	0.397318	0.528851	0.122420	0.798099	
0.907067	0.295206	0.849586	0.440897	0.679611	
0.388019	0.077318	0.441557	0.855846	0.808855	
0.563046	0.397924	0.808808	0.125596	0.983883	
0.195017	0.997197	0.582363	0.265892	0.507938	
0.739891	0.507957	0.905316	0.203860	0.749520	
0.252910	0.409612	0.259460	0.301064	0.223714	
0.311695	0.100652	0.037987	0.802852	0.763018	
0.332135	0.855404	0.752851	0.567287	0.673390	
0.648773	0.643329	0.015910	0.804598	0.274810	
0.303495	0.599736	0.627305	0.378493	0.019636	
0.705760	0.016172	0.556341	0.773575	0.375486	
0.637723	0.367047	0.381999	0.693991	0.375225	
0.430360	0.363842	0.857324	0.332221	0.134031	
0.499168	0.858843	0.646034	0.265450	0.145135	
0.723471	0.663517	0.141155	0.096233	0.658573	
0.119446	0.833087	0.847241	0.895892	0.831166	
0.201887	0.327045	0.050233	0.447319	0.619458	
0.434993	0.808724	0.334999	0.532523	0.605311	
0.675675	0.218002	0.331523	0.350197	0.519699	
0.573397	0.738546	0.325991	0.681564	0.278117	
0.599389	0.079742	0.047391	0.204447	0.417223	
0.189431	0.080175	0.477073	0.657406	0.568037	
0.669330	0.970666	0.807965	0.324623	0.936356	
0.257252	0.002257	0.236362	0.745599	0.319959	
0.151096	0.621090	0.800102	0.732413	0.647381	
0.324392	0.123327	0.894676	0.487380	0.271552	
0.347095	0.956050	0.486083	0.038131	0.095363	
0.389055	0.896850	0.906973	0.533137	0.851346	
0.824880	0.966360	0.695546	0.839212	0.290721	
0.909998	0.732629	0.263856	0.077402	0.674901	
0.833225	0.059039	0.775688	0.607401	0.566044	
0.876941	0.277214	0.645318	0.690692	0.899788	
0.574454	0.480847	0.526127	0.740383	0.843537	
0.891624	0.963018	0.578327	0.025786	0.228007	
0.531929	0.564855	0.746622	0.644282	0.040760	
0.633481	0.110294	0.868397	0.551388	0.688954	
0.428082	0.672929	0.418205	0.759711	0.381218	
0.855474	0.369412	0.518363	0.616145	0.721347	
0.240893	0.182543	0.456433	0.679231	0.549853	
0.675678	0.566377	0.783032	0.033172	0.522339	
0.093486	0.622685	0.712315	0.705574	0.110324	
0.381946	0.152320	0.965238	0.855101	0.683357	
0.983257	0.636478	0.587473	0.355798	0.499168	
0.120535	0.886518	0.274136	0.954403	0.807177	
0.791288	0.243899	0.437121	0.188108	0.672480	
0.316224	0.136063	0.497769	0.256838	0.449015	
0.518135	0.384919	0.973371	0.116850	0.138091	
0.026025	0.354656	0.649956	0.981482	0.818884	
0.591814	0.551765	0.122898	0.384396	0.938356	
0.677480	0.028792	0.401779	0.240172	0.245213	
0.783356	0.989175	0.443162	0.350951	0.216228	
0.957831	0.279971	0.389025	0.852515	0.919403	
0.469460	0.365309	0.811095	0.588340	0.005150	
0.313538	0.473279	0.638747	0.874638	0.797010	
0.166292	0.692090	0.002442	0.083805	0.144439	
0.786823	0.118299	0.555848	0.290734	0.652411	
0.511160	0.815987	0.488443	0.755658	0.272037	
0.692493	0.263333	0.526414	0.948009	0.326275	
0.711335	0.873331	0.542819	0.627845	0.037297	
0.862615	0.937554	0.434315	0.678370	0.275998	
0.527852	0.782497	0.761078	0.944063	0.220925	
0.703915	0.202916	0.271476	0.224204	0.482618	
0.563704	0.351133	0.200782	0.668883	0.695780	
0.572405	0.946723	0.764730	0.150086	0.961230	
