n	n	n	i	i
1.835885	0.562412	0.343340	1.000000	1.000000	
1.294452	1.282491	0.615647	1.000000	1.000000	
0.105330	0.897530	0.301973	1.000000	0.000000	
0.802629	0.144705	0.892112	2.000000	1.000000	
0.429363	0.084720	0.736298	0.000000	0.000000	
0.875296	0.937383	0.230256	1.000000	0.000000	
0.514361	0.667382	0.407077	3.000000	2.000000	
0.667016	0.949978	0.510508	2.000000	0.000000	
0.628847	0.579919	0.543442	4.000000	2.000000	
0.007692	0.169786	0.867847	4.000000	1.000000	
0.669988	0.377759	0.042249	3.000000	1.000000	
0.221097	0.213976	0.689345	0.000000	2.000000	
0.191874	0.485988	0.255092	2.000000	0.000000	
0.263628	0.194872	0.715681	2.000000	0.000000	
0.473465	0.890725	0.659470	0.000000	0.000000	
0.264481	0.042236	0.167226	0.000000	0.000000	
0.005610	0.531839	0.190848	1.000000	2.000000	
0.099654	0.471372	0.376314	2.000000	1.000000	
0.035265	0.999097	0.042857	0.000000	0.000000	
0.121630	0.760922	0.756871	0.000000	2.000000	
0.387876	0.565573	0.199959	0.000000	1.000000	
0.856209	0.764934	0.416537	2.000000	1.000000	
0.884371	0.301669	0.039500	1.000000	2.000000	
0.946868	0.592324	0.700315	2.000000	0.000000	
0.675146	0.684226	0.747006	2.000000	1.000000	
0.025933	0.229989	0.307471	1.000000	0.000000	
0.484942	0.772563	0.276465	1.000000	2.000000	
0.541836	0.435663	0.228633	2.000000	1.000000	
0.223126	0.295084	0.371265	1.000000	0.000000	
0.691842	0.845535	0.902114	1.000000	1.000000	
0.886803	0.125220	0.500207	0.000000	4.000000	
0.376214	0.321632	0.293721	2.000000	3.000000	
0.671352	0.317857	0.471003	1.000000	3.000000	
0.327253	0.346483	0.748600	4.000000	1.000000	
0.848566	0.861382	0.828212	3.000000	0.000000	
0.716134	0.747073	0.156900	1.000000	0.000000	
0.066081	0.482470	0.544679	1.000000	0.000000	
0.948786	0.251074	0.993809	2.000000	1.000000	
