i	i	i	n	n
5.000000	2.000000	1.000000	0.501324	1.594139	
0.000000	0.000000	3.000000	0.627337	1.255874	
3.000000	1.000000	2.000000	0.310359	0.695350	
1.000000	1.000000	2.000000	0.492139	0.264410	
2.000000	2.000000	1.000000	0.644989	0.721751	
1.000000	2.000000	1.000000	0.803529	0.407542	
1.000000	3.000000	3.000000	0.138840	0.371359	
3.000000	3.000000	4.000000	0.383932	0.116714	
1.000000	4.000000	2.000000	0.596312	0.058482	
2.000000	5.000000	3.000000	0.477434	0.018004	
0.000000	5.000000	5.000000	0.733745	0.538302	
1.000000	4.000000	5.000000	0.900024	0.720904	
0.000000	5.000000	5.000000	0.817573	0.864474	
3.000000	5.000000	5.000000	0.179021	0.262612	
1.000000	4.000000	5.000000	0.648874	0.319932	
1.000000	5.000000	4.000000	0.043238	0.904716	
1.000000	3.000000	5.000000	0.020318	0.456082	
0.000000	5.000000	3.000000	0.727067	0.635826	
1.000000	3.000000	3.000000	0.009695	0.415081	
2.000000	5.000000	4.000000	0.846601	0.934918	
1.000000	5.000000	3.000000	0.589573	0.800291	
3.000000	4.000000	5.000000	0.390837	0.005119	
2.000000	5.000000	5.000000	0.836097	0.488240	
0.000000	4.000000	5.000000	0.567851	0.923851	
2.000000	5.000000	5.000000	0.492638	0.948937	
4.000000	5.000000	4.000000	0.950927	0.345697	
4.000000	5.000000	5.000000	0.625057	0.622784	
1.000000	5.000000	5.000000	0.462665	0.303412	
2.000000	5.000000	5.000000	0.816111	0.630464	
1.000000	4.000000	4.000000	0.703330	0.998996	
1.000000	3.000000	3.000000	0.989007	0.280801	
1.000000	3.000000	4.000000	0.733742	0.715742	
1.000000	3.000000	3.000000	0.825760	0.475652	
2.000000	2.000000	1.000000	0.796398	0.352944	
2.000000	3.000000	3.000000	0.205945	0.212447	
2.000000	1.000000	2.000000	0.140198	0.680471	
0.000000	5.000000	4.000000	0.862933	0.875694	
0.000000	2.000000	3.000000	0.609580	0.826851	
0.000000	5.000000	5.000000	0.575593	0.837163	
0.000000	3.000000	4.000000	0.466052	0.443623	
2.000000	5.000000	5.000000	0.378531	0.530226	
2.000000	4.000000	5.000000	0.103541	0.943927	
1.000000	4.000000	5.000000	0.229239	0.800542	
1.000000	5.000000	5.000000	0.678126	0.031281	
1.000000	5.000000	3.000000	0.040595	0.711680	
2.000000	5.000000	5.000000	0.144370	0.737258	
1.000000	5.000000	4.000000	0.857981	0.727509	
0.000000	5.000000	5.000000	0.658737	0.985284	
0.000000	5.000000	5.000000	0.649525	0.473932	
1.000000	5.000000	5.000000	0.237573	0.747139	
3.000000	5.000000	5.000000	0.252372	0.354368	
1.000000	2.000000	5.000000	0.253498	0.357217	
1.000000	5.000000	4.000000	0.719849	0.040543	
0.000000	2.000000	5.000000	0.440032	0.741025	
1.000000	5.000000	4.000000	0.768323	0.040111	
1.000000	4.000000	1.000000	0.329426	0.209499	
1.000000	3.000000	5.000000	0.619458	0.333396	
0.000000	5.000000	2.000000	0.030226	0.216901	
1.000000	1.000000	3.000000	0.657349	0.299600	
0.000000	4.000000	5.000000	0.961832	0.354144	
2.000000	2.000000	2.000000	0.196813	0.737199	
0.000000	5.000000	4.000000	0.043738	0.243009	
1.000000	2.000000	5.000000	0.697707	0.095847	
1.000000	4.000000	5.000000	0.377581	0.278615	
0.000000	5.000000	2.000000	0.528608	0.607801	
1.000000	5.000000	5.000000	0.474419	0.953368	
2.000000	5.000000	5.000000	0.150843	0.138004	
1.000000	5.000000	4.000000	0.126001	0.011382	
1.000000	4.000000	5.000000	0.893690	0.964460	
1.000000	5.000000	5.000000	0.638483	0.571728	
1.000000	2.000000	3.000000	0.759616	0.594927	
2.000000	4.000000	5.000000	0.236862	0.638396	
0.000000	4.000000	5.000000	0.248033	0.895634	
0.000000	5.000000	5.000000	0.239890	0.177210	
2.000000	5.000000	3.000000	0.336852	0.453316	
0.000000	5.000000	5.000000	0.696628	0.300185	
0.000000	3.000000	5.000000	0.037702	0.847621	
1.000000	5.000000	5.000000	0.701389	0.109175	
0.000000	5.000000	3.000000	0.587043	0.660879	
4.000000	5.000000	4.000000	0.599567	0.468698	
1.000000	5.000000	4.000000	0.552975	0.319024	
3.000000	5.000000	5.000000	0.970180	0.470604	
1.000000	5.000000	5.000000	0.384690	0.188061	
0.000000	3.000000	5.000000	0.649410	0.578708	
1.000000	5.000000	5.000000	0.929741	0.911432	
2.000000	3.000000	5.000000	0.740899	0.346898	
2.000000	5.000000	4.000000	0.436401	0.998548	
1.000000	3.000000	5.000000	0.457810	0.100477	
3.000000	5.000000	5.000000	0.331925	0.440153	
2.000000	3.000000	5.000000	0.645473	0.772372	
2.000000	5.000000	5.000000	0.316613	0.572900	
2.000000	5.000000	3.000000	0.995724	0.484834	
1.000000	4.000000	5.000000	0.200816	0.970322	
1.000000	5.000000	5.000000	0.246769	0.306704	
5.000000	3.000000	3.000000	0.065702	0.797730	
3.000000	5.000000	5.000000	0.906091	0.919731	
2.000000	4.000000	5.000000	0.329164	0.320484	
2.000000	5.000000	5.000000	0.033379	0.703532	
1.000000	5.000000	5.000000	0.344606	0.051193	
1.000000	5.000000	4.000000	0.305252	0.580650	
1.000000	5.000000	5.000000	0.457004	0.704586	
2.000000	5.000000	5.000000	0.649253	0.933717	
3.000000	3.000000	3.000000	0.340681	0.094444	
3.000000	5.000000	5.000000	0.878652	0.504717	
3.000000	3.000000	4.000000	0.043279	0.542335	
0.000000	5.000000	5.000000	0.950131	0.713994	
1.000000	5.000000	2.000000	0.199394	0.409372	
0.000000	3.000000	5.000000	0.173598	0.982331	
1.000000	4.000000	4.000000	0.589422	0.588318	
2.000000	2.000000	3.000000	0.384537	0.460661	
0.000000	5.000000	4.000000	0.703302	0.614466	
2.000000	3.000000	5.000000	0.840862	0.365406	
2.000000	5.000000	5.000000	0.922268	0.191930	
1.000000	4.000000	1.000000	0.579269	0.355005	
1.000000	5.000000	5.000000	0.648205	0.900425	
3.000000	5.000000	4.000000	0.074355	0.207628	
2.000000	5.000000	5.000000	0.229800	0.424209	
0.000000	5.000000	5.000000	0.323079	0.119015	
1.000000	4.000000	5.000000	0.223965	0.421943	
1.000000	5.000000	4.000000	0.034085	0.519928	
0.000000	5.000000	3.000000	0.587165	0.526290	
0.000000	5.000000	5.000000	0.622400	0.976329	
1.000000	5.000000	4.000000	0.548672	0.066293	
0.000000	5.000000	5.000000	0.517087	0.671000	
0.000000	5.000000	4.000000	0.956712	0.117027	
0.000000	5.000000	5.000000	0.528159	0.885191	
1.000000	5.000000	3.000000	0.095463	0.703459	
3.000000	4.000000	5.000000	0.565186	0.687612	
1.000000	5.000000	5.000000	0.646872	0.808892	
1.000000	5.000000	4.000000	0.672815	0.558486	
2.000000	5.000000	5.000000	0.185342	0.420333	
2.000000	5.000000	5.000000	0.012117	0.452048	
1.000000	5.000000	5.000000	0.771281	0.536652	
2.000000	5.000000	5.000000	0.771638	0.597302	
3.000000	5.000000	5.000000	0.026570	0.078475	
1.000000	4.000000	5.000000	0.779655	0.927439	
5.000000	4.000000	5.000000	0.923767	0.884770	
